gambas,5
purebasic,2
tcl,52
realbasic,9
go,979
lasso,6
xml,460
arduino,254
apex,5
restructuredtext,34
pure data,56
fortran,138
matlab,417
ada,93
erlang,237
limbo,52
python,25523
viml,370
c++,11074
dart,18
julia,1
d,149
abap,6
common lisp,255
xquery,5
unrealscript,9
javascript,6979
html/css,5639
unityscript,36
vhdl,53
tex,118
autoit,1
arc,7
qml,15
racket,53
scala,980
delphi,289
lua,650
ceylon,1
nemerle,1
verilog,60
forth,15
asp,45
assembly,242
vala,52
processing,108
octave,24
elixir,1
swift,2
c,6002
visualbasic,59
coldfusion,54
vb.net,282
ocaml,281
cuda,12
boo,5
clojure,308
lilypond,1
markdown,324
standardml,23
haskell,782
puppet,121
powerbasic,4
euphoria,23
sourcepawn,87
java,18765
foxpro,17
object pascal,101
perl,1183
haxe,120
scheme,227
oxygene,12
shell,2074
ooc,1
c#,9463
ruby,3487
groovy,447
igorpro,1
xpages,15
sclang,1
labview,56
r,342
coco,7
blitzmax,20
zsh,48
powershell,111
rust,9
prolog,47
nodejs,4
emacs lisp,360
objective-c,2076
f#,219
io,2
objective-j,5
smalltalk,26
self,9
mathematica,28
max/msp,7
pl/sql,14
supercollider,7
coffeescript,271
other,283
actionscript,628
android,467
nu,2
css,83
duby,2
componentpascal,4
eiffel,10
asciidoc,9
sql,204
php,10341
fantom,62
latex,1055
sass,33
m,5
inform,8
scilab,8
